frequency,amplitude
0,0.001048
1.76,0.002234
3.52,0.004217
5.27,0.005365
7.03,0.00543
8.79,0.006563
10.55,0.005551
12.3,0.004807
14.06,0.008382
15.82,0.010096
17.58,0.005912
19.34,0.004075
21.09,0.002779
22.85,0.000926
24.61,0.003163
26.37,0.004529
28.12,0.003422
29.88,0.006076
31.64,0.000912
33.4,0.006064
35.16,0.005508
36.91,0.004001
38.67,0.001904
40.43,0.003453
42.19,0.002357
43.95,0.0044
45.7,0.00678
47.46,0.001763
49.22,0.002126
50.98,0.001315
52.73,0.000893
54.49,0.003174
56.25,0.004393
58.01,0.005339
59.77,0.00749
61.52,0.003075
63.28,0.005345
65.04,0.005447
66.8,0.002904
68.55,0.001722
70.31,0.004967
72.07,0.004755
73.83,0.004089
75.59,0.003876
77.34,0.003583
79.1,0.003585
80.86,0.007261
82.62,0.009844
84.37,0.00798
86.13,0.00333
87.89,0.008752
89.65,0.008609
91.41,0.006201
93.16,0.004597
94.92,0.006149
96.68,0.004934
98.44,0.003431
100.2,0.001309
101.95,0.002065
103.71,0.002624
105.47,0.004298
107.23,0.005263
108.98,0.007025
110.74,0.007562
112.5,0.005977
114.26,0.004636
116.02,0.003817
117.77,0.00577
119.53,0.004404
121.29,0.001801
123.05,0.006757
124.8,0.009449
126.56,0.00801
128.32,0.005347
130.08,0.001474
131.84,0.004763
133.59,0.002081
135.35,0.001372
137.11,0.004736
138.87,0.005107
140.62,0.007294
142.38,0.003977
144.14,0.003289
145.9,0.006369
147.66,0.006399
149.41,0.002903
151.17,0.00503
152.93,0.007324
154.69,0.00577
156.45,0.006396
158.2,0.003233
159.96,0.000727
161.72,0.0026
163.48,0.002057
165.23,0.009414
166.99,0.007881
168.75,0.002663
170.51,0.003878
172.27,0.001813
174.02,0.001933
175.78,0.004357
177.54,0.000582
179.3,0.003832
181.05,0.00778
182.81,0.004965
184.57,0.001034
186.33,0.004978
188.09,0.005969
189.84,0.003524
191.6,0.003771
193.36,0.003635
195.12,0.004385
196.87,0.001236
198.63,0.005556
200.39,0.005584
202.15,0.005055
203.91,0.006531
205.66,0.007274
207.42,0.004712
209.18,0.0035
210.94,0.001302
212.7,0.002723
214.45,0.002165
216.21,0.001286
217.97,0.002563
219.73,0.00385
